2018-01-27T10:03:08.841+0800 I CONTROL  [main] Trying to start Windows service 'MongoDB'
2018-01-27T10:03:08.842+0800 I CONTROL  [initandlisten] MongoDB starting : pid=4896 port=27017 dbpath=F:\NetEase\MongoDB\db 64-bit host=Dell-PC
2018-01-27T10:03:08.842+0800 I CONTROL  [initandlisten] targetMinOS: Windows 7/Windows Server 2008 R2
2018-01-27T10:03:08.842+0800 I CONTROL  [initandlisten] db version v3.4.11-rc0-2-g87ad912
2018-01-27T10:03:08.842+0800 I CONTROL  [initandlisten] git version: 87ad912b6b3a1b3776d8c39bc44321bed130e924
2018-01-27T10:03:08.843+0800 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.1u-fips  22 Sep 2016
2018-01-27T10:03:08.843+0800 I CONTROL  [initandlisten] allocator: tcmalloc
2018-01-27T10:03:08.843+0800 I CONTROL  [initandlisten] modules: none
2018-01-27T10:03:08.843+0800 I CONTROL  [initandlisten] build environment:
2018-01-27T10:03:08.843+0800 I CONTROL  [initandlisten]     distmod: 2008plus-ssl
2018-01-27T10:03:08.843+0800 I CONTROL  [initandlisten]     distarch: x86_64
2018-01-27T10:03:08.843+0800 I CONTROL  [initandlisten]     target_arch: x86_64
2018-01-27T10:03:08.843+0800 I CONTROL  [initandlisten] options: { config: "C:\Program Files\MongoDB\Server\3.4\bin\mongo.config", service: true, storage: { dbPath: "F:\NetEase\MongoDB\db" }, systemLog: { destination: "file", path: "F:\NetEase\MongoDB\log\db.log" } }
2018-01-27T10:03:08.867+0800 I -        [initandlisten] Detected data files in F:\NetEase\MongoDB\db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
2018-01-27T10:03:08.868+0800 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3536M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),verbose=(recovery_progress),
